Date,Close Price,Volume
2022-12-27,263.58,38009000
2022-12-28,260.1,47139000
2022-12-29,266.44,45893600
2022-12-30,266.28,37858300
2023-01-02,266.28,37858300
2023-01-03,264.48,42335300
2023-01-04,265.74,47754900
2023-01-05,261.58,45396700
2023-01-06,268.8,54659700
2023-01-09,270.54,45568700
2023-01-10,272.83,35247800
2023-01-11,277.55,44077000
2023-01-12,279.05,60600000
2023-01-13,280.97,44802900
2023-01-16,280.97,44802900
2023-01-17,281.54,36269700
2023-01-18,277.88,47754500
2023-01-19,275.15,44150400
2023-01-20,282.68,60613600
2023-01-23,288.96,52799900
2023-01-24,288.37,44875100
2023-01-25,287.73,50872000
2023-01-26,293.34,51596300
2023-01-27,296.26,56441900
2023-01-30,290.27,49405800
2023-01-31,294.62,46705100
2023-02-01,300.92,67562200
2023-02-02,311.72,83070600
2023-02-03,306.18,76170800
2023-02-06,303.59,40802300
2023-02-07,309.88,67584000
2023-02-08,304.37,56720900
2023-02-09,301.68,49137800
2023-02-10,299.7,50050100
2023-02-13,304.5,39636700
2023-02-14,306.75,64079100
2023-02-15,309.1,43100600
2023-02-16,303.3,59498600
2023-02-17,301.16,58230700
2023-02-20,301.16,58230700
2023-02-21,294.03,46526700
2023-02-22,294.25,51389200
2023-02-23,296.82,69294400
2023-02-24,291.85,74332000
2023-02-27,293.94,48995000
2023-02-28,293.56,48243100
2023-03-01,291.2,58287000
2023-03-02,293.61,53565900
2023-03-03,299.68,60511500
2023-03-06,300.02,56736300
2023-03-07,296.34,65955800
2023-03-08,297.82,50876300
2023-03-09,292.66,71456700
2023-03-10,288.55,98593600
2023-03-13,290.69,97123600
2023-03-14,297.37,73602500
2023-03-15,298.93,83631500
2023-03-16,306.81,98198100
2023-03-17,305.36,89923700
2023-03-20,305.97,56359500
2023-03-21,310.34,49757000
2023-03-22,306.12,75791900
2023-03-23,309.75,74576000
2023-03-24,310.89,57195200
2023-03-27,308.76,50287400
2023-03-28,307.12,48585900
2023-03-29,312.72,53274300
2023-03-30,315.68,58354800
2023-03-31,320.93,62138100
2023-04-03,320.15,47126800
2023-04-04,319.07,45875400
2023-04-05,315.92,62795700
2023-04-06,318.05,46916500
2023-04-07,318.05,46916500
2023-04-10,317.87,45134700
2023-04-11,315.83,40113600
2023-04-12,313.04,62813300
2023-04-13,319.17,54613800
2023-04-14,318.57,56278300
2023-04-17,318.84,43007000
2023-04-18,318.86,46746900
2023-04-19,318.71,38960100
2023-04-20,316.28,62462100
2023-04-21,316.61,59002300
2023-04-24,315.95,44043100
2023-04-25,309.99,57121600
2023-04-26,311.87,55400500
2023-04-27,320.35,65430400
2023-04-28,322.56,59712600
2023-05-01,322.19,41013400
2023-05-02,319.38,56519400
2023-05-03,317.29,59882100
2023-05-04,316.17,50224500
2023-05-05,322.89,51806100
2023-05-08,323.69,36465800
2023-05-09,321.64,31768800
2023-05-10,325.14,60446600
2023-05-11,326.2,44278500
2023-05-12,325.03,48432800
2023-05-15,326.79,33375600
2023-05-16,327.16,40019200
2023-05-17,331.12,47486100
2023-05-18,337.27,64213500
2023-05-19,336.51,61554900
2023-05-22,337.64,43015900
2023-05-23,333.36,48216700
2023-05-24,331.65,62891200
2023-05-25,339.72,66862800
2023-05-26,348.4,63007000
2023-05-29,348.4,63007000
2023-05-30,349.98,72652200
2023-05-31,347.99,65105400
2023-06-01,352.01,50488600
2023-06-02,354.65,53372100
2023-06-05,354.9,47266200
2023-06-06,354.84,41390400
2023-06-07,348.82,69225900
2023-06-08,353.15,47153900
2023-06-09,354.5,53196900
2023-06-12,360.49,44606500
2023-06-13,363.26,57097800
2023-06-14,365.9,69525600
2023-06-15,370.26,71138800
2023-06-16,367.93,80932000
2023-06-19,367.93,80932000
2023-06-20,366.9,49204700
2023-06-21,361.9,53378300
2023-06-22,366.17,47603000
2023-06-23,362.54,48922900
2023-06-26,357.68,52685500
2023-06-27,363.83,49428100
2023-06-28,364.54,46498000
2023-06-29,363.81,46151000
2023-06-30,369.42,58712500
2023-07-03,370.29,19432900
2023-07-04,370.29,19432900
2023-07-05,370.28,34460900
2023-07-06,367.46,49374700
2023-07-07,366.24,47133700
2023-07-10,366.36,48498800
2023-07-11,368.17,38214100
2023-07-12,372.82,61975400
2023-07-13,379.15,46960000
